Add:         0210083 Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach
Revise from: 02700ZZ Dilation of Coronary Artery, One Site, Open Approach
Revise to:   02700ZZ Dilation of Coronary Artery, One Artery, Open Approach
Revise from: 0270346 Dilation of Coronary Artery, One Site, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   0270346 Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise from: 027034Z Dilation of Coronary Artery, One Site with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   027034Z Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         0270356 Dilation of Coronary Artery, One Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         027035Z Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0270366 Dilation of Coronary Artery, One Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         027036Z Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0270376 Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         027037Z Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Revise from: 02703D6 Dilation of Coronary Artery, One Site, Bifurcation, with Intraluminal Device, Percutaneous Approach
Revise to:   02703D6 Dilation of Coronary Artery, One Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Revise from: 02703DZ Dilation of Coronary Artery, One Site with Intraluminal Device, Percutaneous Approach
Revise to:   02703DZ Dilation of Coronary Artery, One Artery with Intraluminal Device, Percutaneous Approach
Add:         02703E6 Dilation of Coronary Artery, One Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         02703EZ Dilation of Coronary Artery, One Artery with Two Intraluminal Devices, Percutaneous Approach
Add:         02703F6 Dilation of Coronary Artery, One Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         02703FZ Dilation of Coronary Artery, One Artery with Three Intraluminal Devices, Percutaneous Approach
Add:         02703G6 Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         02703GZ Dilation of Coronary Artery, One Artery with Four or More Intraluminal Devices, Percutaneous Approach
Revise from: 02703T6 Dilation of Coronary Artery, One Site, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach
Revise to:   02703T6 Dilation of Coronary Artery, One Artery, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach
Revise from: 02703TZ Dilation of Coronary Artery, One Site with Radioactive Intraluminal Device, Percutaneous Approach
Revise to:   02703TZ Dilation of Coronary Artery, One Artery with Radioactive Intraluminal Device, Percutaneous Approach
Revise from: 02703Z6 Dilation of Coronary Artery, One Site, Bifurcation, Percutaneous Approach
Revise to:   02703Z6 Dilation of Coronary Artery, One Artery, Bifurcation, Percutaneous Approach
Revise from: 02703ZZ Dilation of Coronary Artery, One Site, Percutaneous Approach
Revise to:   02703ZZ Dilation of Coronary Artery, One Artery, Percutaneous Approach
Revise from: 0270446 Dilation of Coronary Artery, One Site, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   0270446 Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 027044Z Dilation of Coronary Artery, One Site with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   027044Z Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         0270456 Dilation of Coronary Artery, One Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         027045Z Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0270466 Dilation of Coronary Artery, One Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         027046Z Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0270476 Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         027047Z Dilation of Coronary Artery, One Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Revise from: 02704D6 Dilation of Coronary Artery, One Site, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02704D6 Dilation of Coronary Artery, One Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02704DZ Dilation of Coronary Artery, One Site with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02704DZ Dilation of Coronary Artery, One Artery with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         02704E6 Dilation of Coronary Artery, One Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02704EZ Dilation of Coronary Artery, One Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02704F6 Dilation of Coronary Artery, One Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02704FZ Dilation of Coronary Artery, One Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02704G6 Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02704GZ Dilation of Coronary Artery, One Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Revise from: 02704T6 Dilation of Coronary Artery, One Site, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02704T6 Dilation of Coronary Artery, One Artery, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02704TZ Dilation of Coronary Artery, One Site with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02704TZ Dilation of Coronary Artery, One Artery with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02704Z6 Dilation of Coronary Artery, One Site, Bifurcation, Percutaneous Endoscopic Approach
Revise to:   02704Z6 Dilation of Coronary Artery, One Artery, Bifurcation, Percutaneous Endoscopic Approach
Revise from: 02704ZZ Dilation of Coronary Artery, One Site, Percutaneous Endoscopic Approach
Revise to:   02704ZZ Dilation of Coronary Artery, One Artery, Percutaneous Endoscopic Approach
Revise from: 0271046 Dilation of Coronary Artery, Two Sites, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Revise to:   0271046 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Revise from: 027104Z Dilation of Coronary Artery, Two Sites with Drug-eluting Intraluminal Device, Open Approach
Revise to:   027104Z Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Open Approach
Add:         0271056 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         027105Z Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         0271066 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         027106Z Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         0271076 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         027107Z Dilation of Coronary Artery, Two Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach
Revise from: 02710D6 Dilation of Coronary Artery, Two Sites, Bifurcation, with Intraluminal Device, Open Approach
Revise to:   02710D6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Intraluminal Device, Open Approach
Revise from: 02710DZ Dilation of Coronary Artery, Two Sites with Intraluminal Device, Open Approach
Revise to:   02710DZ Dilation of Coronary Artery, Two Arteries with Intraluminal Device, Open Approach
Add:         02710E6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         02710EZ Dilation of Coronary Artery, Two Arteries with Two Intraluminal Devices, Open Approach
Add:         02710F6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         02710FZ Dilation of Coronary Artery, Two Arteries with Three Intraluminal Devices, Open Approach
Add:         02710G6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         02710GZ Dilation of Coronary Artery, Two Arteries with Four or More Intraluminal Devices, Open Approach
Revise from: 02710T6 Dilation of Coronary Artery, Two Sites, Bifurcation, with Radioactive Intraluminal Device, Open Approach
Revise to:   02710T6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach
Revise from: 02710TZ Dilation of Coronary Artery, Two Sites with Radioactive Intraluminal Device, Open Approach
Revise to:   02710TZ Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Open Approach
Revise from: 02710Z6 Dilation of Coronary Artery, Two Sites, Bifurcation, Open Approach
Revise to:   02710Z6 Dilation of Coronary Artery, Two Arteries, Bifurcation, Open Approach
Revise from: 02710ZZ Dilation of Coronary Artery, Two Sites, Open Approach
Revise to:   02710ZZ Dilation of Coronary Artery, Two Arteries, Open Approach
Revise from: 0271346 Dilation of Coronary Artery, Two Sites, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   0271346 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise from: 027134Z Dilation of Coronary Artery, Two Sites with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   027134Z Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         0271356 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         027135Z Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0271366 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         027136Z Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0271376 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         027137Z Dilation of Coronary Artery, Two Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Revise from: 02713D6 Dilation of Coronary Artery, Two Sites, Bifurcation, with Intraluminal Device, Percutaneous Approach
Revise to:   02713D6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Intraluminal Device, Percutaneous Approach
Revise from: 02713DZ Dilation of Coronary Artery, Two Sites with Intraluminal Device, Percutaneous Approach
Revise to:   02713DZ Dilation of Coronary Artery, Two Arteries with Intraluminal Device, Percutaneous Approach
Add:         02713E6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         02713EZ Dilation of Coronary Artery, Two Arteries with Two Intraluminal Devices, Percutaneous Approach
Add:         02713F6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         02713FZ Dilation of Coronary Artery, Two Arteries with Three Intraluminal Devices, Percutaneous Approach
Add:         02713G6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         02713GZ Dilation of Coronary Artery, Two Arteries with Four or More Intraluminal Devices, Percutaneous Approach
Revise from: 02713T6 Dilation of Coronary Artery, Two Sites, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach
Revise to:   02713T6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach
Revise from: 02713TZ Dilation of Coronary Artery, Two Sites with Radioactive Intraluminal Device, Percutaneous Approach
Revise to:   02713TZ Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Percutaneous Approach
Revise from: 02713Z6 Dilation of Coronary Artery, Two Sites, Bifurcation, Percutaneous Approach
Revise to:   02713Z6 Dilation of Coronary Artery, Two Arteries, Bifurcation, Percutaneous Approach
Revise from: 02713ZZ Dilation of Coronary Artery, Two Sites, Percutaneous Approach
Revise to:   02713ZZ Dilation of Coronary Artery, Two Arteries, Percutaneous Approach
Revise from: 0271446 Dilation of Coronary Artery, Two Sites, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   0271446 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 027144Z Dilation of Coronary Artery, Two Sites with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   027144Z Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         0271456 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         027145Z Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0271466 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         027146Z Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0271476 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         027147Z Dilation of Coronary Artery, Two Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Revise from: 02714D6 Dilation of Coronary Artery, Two Sites, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02714D6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02714DZ Dilation of Coronary Artery, Two Sites with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02714DZ Dilation of Coronary Artery, Two Arteries with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         02714E6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02714EZ Dilation of Coronary Artery, Two Arteries with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02714F6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02714FZ Dilation of Coronary Artery, Two Arteries with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02714G6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02714GZ Dilation of Coronary Artery, Two Arteries with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Revise from: 02714T6 Dilation of Coronary Artery, Two Sites, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02714T6 Dilation of Coronary Artery, Two Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02714TZ Dilation of Coronary Artery, Two Sites with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02714TZ Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02714Z6 Dilation of Coronary Artery, Two Sites, Bifurcation, Percutaneous Endoscopic Approach
Revise to:   02714Z6 Dilation of Coronary Artery, Two Arteries, Bifurcation, Percutaneous Endoscopic Approach
Revise from: 02714ZZ Dilation of Coronary Artery, Two Sites, Percutaneous Endoscopic Approach
Revise to:   02714ZZ Dilation of Coronary Artery, Two Arteries, Percutaneous Endoscopic Approach
Revise from: 0272046 Dilation of Coronary Artery, Three Sites, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Revise to:   0272046 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Revise from: 027204Z Dilation of Coronary Artery, Three Sites with Drug-eluting Intraluminal Device, Open Approach
Revise to:   027204Z Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Open Approach
Add:         0272056 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         027205Z Dilation of Coronary Artery, Three Arteries with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         0272066 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         027206Z Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         0272076 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         027207Z Dilation of Coronary Artery, Three Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach
Revise from: 02720D6 Dilation of Coronary Artery, Three Sites, Bifurcation, with Intraluminal Device, Open Approach
Revise to:   02720D6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Intraluminal Device, Open Approach
Revise from: 02720DZ Dilation of Coronary Artery, Three Sites with Intraluminal Device, Open Approach
Revise to:   02720DZ Dilation of Coronary Artery, Three Arteries with Intraluminal Device, Open Approach
Add:         02720E6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         02720EZ Dilation of Coronary Artery, Three Arteries with Two Intraluminal Devices, Open Approach
Add:         02720F6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         02720FZ Dilation of Coronary Artery, Three Arteries with Three Intraluminal Devices, Open Approach
Add:         02720G6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         02720GZ Dilation of Coronary Artery, Three Arteries with Four or More Intraluminal Devices, Open Approach
Revise from: 02720T6 Dilation of Coronary Artery, Three Sites, Bifurcation, with Radioactive Intraluminal Device, Open Approach
Revise to:   02720T6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach
Revise from: 02720TZ Dilation of Coronary Artery, Three Sites with Radioactive Intraluminal Device, Open Approach
Revise to:   02720TZ Dilation of Coronary Artery, Three Arteries with Radioactive Intraluminal Device, Open Approach
Revise from: 02720Z6 Dilation of Coronary Artery, Three Sites, Bifurcation, Open Approach
Revise to:   02720Z6 Dilation of Coronary Artery, Three Arteries, Bifurcation, Open Approach
Revise from: 02720ZZ Dilation of Coronary Artery, Three Sites, Open Approach
Revise to:   02720ZZ Dilation of Coronary Artery, Three Arteries, Open Approach
Revise from: 0272346 Dilation of Coronary Artery, Three Sites, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   0272346 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise from: 027234Z Dilation of Coronary Artery, Three Sites with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   027234Z Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         0272356 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         027235Z Dilation of Coronary Artery, Three Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0272366 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         027236Z Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0272376 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         027237Z Dilation of Coronary Artery, Three Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Revise from: 02723D6 Dilation of Coronary Artery, Three Sites, Bifurcation, with Intraluminal Device, Percutaneous Approach
Revise to:   02723D6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Intraluminal Device, Percutaneous Approach
Revise from: 02723DZ Dilation of Coronary Artery, Three Sites with Intraluminal Device, Percutaneous Approach
Revise to:   02723DZ Dilation of Coronary Artery, Three Arteries with Intraluminal Device, Percutaneous Approach
Add:         02723E6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         02723EZ Dilation of Coronary Artery, Three Arteries with Two Intraluminal Devices, Percutaneous Approach
Add:         02723F6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         02723FZ Dilation of Coronary Artery, Three Arteries with Three Intraluminal Devices, Percutaneous Approach
Add:         02723G6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         02723GZ Dilation of Coronary Artery, Three Arteries with Four or More Intraluminal Devices, Percutaneous Approach
Revise from: 02723T6 Dilation of Coronary Artery, Three Sites, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach
Revise to:   02723T6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach
Revise from: 02723TZ Dilation of Coronary Artery, Three Sites with Radioactive Intraluminal Device, Percutaneous Approach
Revise to:   02723TZ Dilation of Coronary Artery, Three Arteries with Radioactive Intraluminal Device, Percutaneous Approach
Revise from: 02723Z6 Dilation of Coronary Artery, Three Sites, Bifurcation, Percutaneous Approach
Revise to:   02723Z6 Dilation of Coronary Artery, Three Arteries, Bifurcation, Percutaneous Approach
Revise from: 02723ZZ Dilation of Coronary Artery, Three Sites, Percutaneous Approach
Revise to:   02723ZZ Dilation of Coronary Artery, Three Arteries, Percutaneous Approach
Revise from: 0272446 Dilation of Coronary Artery, Three Sites, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   0272446 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 027244Z Dilation of Coronary Artery, Three Sites with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   027244Z Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         0272456 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         027245Z Dilation of Coronary Artery, Three Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0272466 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         027246Z Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0272476 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         027247Z Dilation of Coronary Artery, Three Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Revise from: 02724D6 Dilation of Coronary Artery, Three Sites, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02724D6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02724DZ Dilation of Coronary Artery, Three Sites with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02724DZ Dilation of Coronary Artery, Three Arteries with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         02724E6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02724EZ Dilation of Coronary Artery, Three Arteries with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02724F6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02724FZ Dilation of Coronary Artery, Three Arteries with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02724G6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02724GZ Dilation of Coronary Artery, Three Arteries with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Revise from: 02724T6 Dilation of Coronary Artery, Three Sites, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02724T6 Dilation of Coronary Artery, Three Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02724TZ Dilation of Coronary Artery, Three Sites with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02724TZ Dilation of Coronary Artery, Three Arteries with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02724Z6 Dilation of Coronary Artery, Three Sites, Bifurcation, Percutaneous Endoscopic Approach
Revise to:   02724Z6 Dilation of Coronary Artery, Three Arteries, Bifurcation, Percutaneous Endoscopic Approach
Revise from: 02724ZZ Dilation of Coronary Artery, Three Sites, Percutaneous Endoscopic Approach
Revise to:   02724ZZ Dilation of Coronary Artery, Three Arteries, Percutaneous Endoscopic Approach
Revise from: 0273046 Dilation of Coronary Artery, Four or More Sites, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Revise to:   0273046 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Revise from: 027304Z Dilation of Coronary Artery, Four or More Sites with Drug-eluting Intraluminal Device, Open Approach
Revise to:   027304Z Dilation of Coronary Artery, Four or More Arteries with Drug-eluting Intraluminal Device, Open Approach
Add:         0273056 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         027305Z Dilation of Coronary Artery, Four or More Arteries with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         0273066 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         027306Z Dilation of Coronary Artery, Four or More Arteries with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         0273076 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         027307Z Dilation of Coronary Artery, Four or More Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach
Revise from: 02730D6 Dilation of Coronary Artery, Four or More Sites, Bifurcation, with Intraluminal Device, Open Approach
Revise to:   02730D6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Intraluminal Device, Open Approach
Revise from: 02730DZ Dilation of Coronary Artery, Four or More Sites with Intraluminal Device, Open Approach
Revise to:   02730DZ Dilation of Coronary Artery, Four or More Arteries with Intraluminal Device, Open Approach
Add:         02730E6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         02730EZ Dilation of Coronary Artery, Four or More Arteries with Two Intraluminal Devices, Open Approach
Add:         02730F6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         02730FZ Dilation of Coronary Artery, Four or More Arteries with Three Intraluminal Devices, Open Approach
Add:         02730G6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         02730GZ Dilation of Coronary Artery, Four or More Arteries with Four or More Intraluminal Devices, Open Approach
